label,sample_id,timestamp_ms,ax,ay,az,gx,gy,gz
wave_right,133,1482112,1.0845,-0.093,0.6917,45.1832,-11.9618,-55.7252
wave_right,133,1482132,1.0918,-0.0339,0.532,51.2061,10.4122,-91.6031
wave_right,133,1482152,1.2449,0.1077,0.7639,52.4656,39.3206,-97.458
wave_right,133,1482172,1.2488,0.1226,0.8608,53.3053,41.6336,-78.3588
wave_right,133,1482192,1.1941,0.0881,0.7314,57.7863,56.916,-71.4427
wave_right,133,1482212,1.1528,0.2488,0.8132,60.084,72.9695,-74.4427
wave_right,133,1482232,1.0879,0.3311,0.8364,56.4504,88.3511,-67.6565
wave_right,133,1482252,1.0344,0.3616,0.863,57.0,96.5038,-77.1679
wave_right,133,1482272,0.8945,0.3994,0.7839,50.5573,101.8855,-74.7481
wave_right,133,1482292,0.804,0.4519,0.762,45.0687,108.0305,-78.5267
wave_right,133,1482312,0.7346,0.4941,0.7727,37.626,110.7786,-87.2137
wave_right,133,1482332,0.5925,0.5703,0.7617,25.5954,99.3359,-78.8855
wave_right,133,1482352,0.5364,0.5283,0.6802,17.8092,93.8855,-76.7099
wave_right,133,1482372,0.5149,0.4915,0.6934,10.0534,89.8931,-94.8779
wave_right,133,1482392,0.4177,0.678,0.7515,0.8702,74.6107,-93.1908
wave_right,133,1482412,0.3896,0.7224,0.7275,-8.0687,59.5496,-89.313
wave_right,133,1482432,0.3999,0.8042,0.7571,-15.8321,47.0,-99.8779
wave_right,133,1482452,0.3989,1.083,0.6836,-27.9847,34.3053,-112.1832
wave_right,133,1482472,0.3479,1.2546,0.6196,-54.0534,35.0611,-118.0153
wave_right,133,1482492,0.2144,1.2043,0.7024,-90.7176,23.2137,-107.7939
wave_right,133,1482512,0.1035,1.1021,0.7288,-127.7023,-2.3435,-90.9237
wave_right,133,1482532,0.1782,0.7876,0.6304,-149.6794,-32.1908,-80.4962
wave_right,133,1482552,0.3044,0.6685,0.5498,-157.3282,-47.9924,-88.2061
wave_right,133,1482572,0.3782,0.6499,0.5598,-163.1145,-56.9542,-88.5267
wave_right,133,1482592,0.4182,0.5439,0.5286,-174.2061,-66.9618,-83.0458
wave_right,133,1482612,0.4448,0.4902,0.4944,-184.1908,-74.6412,-72.1603
wave_right,133,1482632,0.5161,0.4226,0.4548,-190.5573,-79.1298,-35.6718
wave_right,133,1482652,0.6565,0.2561,0.4124,-190.7328,-72.8702,-13.3206
wave_right,133,1482672,0.6902,0.1172,0.4207,-193.1298,-62.2519,-8.1679
wave_right,133,1482692,0.6321,0.0713,0.4319,-196.6488,-52.4885,8.6947
wave_right,133,1482712,0.5903,-0.0737,0.4687,-193.7328,-43.2443,20.687
wave_right,133,1482732,0.613,-0.092,0.52,-188.7023,-39.5725,23.2901
wave_right,133,1482752,0.6431,-0.0557,0.4719,-194.5649,-32.4656,49.229
wave_right,133,1482772,0.6848,-0.3848,0.4854,-200.0458,-21.3969,74.6183
wave_right,133,1482792,0.6018,-0.4983,0.5417,-190.8244,-4.2977,61.5344
wave_right,133,1482812,0.5251,-0.6448,0.6008,-180.3817,-1.8473,64.9389
wave_right,133,1482832,0.4631,-0.6223,0.6008,-168.8092,-3.458,82.0153
wave_right,133,1482852,0.4617,-0.8035,0.6223,-158.145,-2.687,107.9924
wave_right,133,1482872,0.4307,-1.1206,0.6492,-132.5038,2.313,79.5191
wave_right,133,1482892,0.4297,-1.156,0.696,-97.6947,5.1145,34.0534
wave_right,133,1482912,0.4167,-1.0803,0.7524,-63.4656,4.2672,-14.1985
wave_right,133,1482932,0.3645,-0.9302,0.8064,-40.3206,0.855,-28.9542
wave_right,133,1482952,0.3594,-0.8552,0.7927,-29.6489,-8.1069,-24.7176
wave_right,133,1482972,0.4141,-0.8018,0.8215,-23.6183,-14.1374,-13.8321
wave_right,133,1482992,0.4871,-0.835,0.8115,-14.5191,-15.2137,-21.9618
wave_right,133,1483012,0.5452,-0.7471,0.7898,-6.2901,-8.9771,-35.2061
wave_right,134,1486352,0.9111,0.062,0.6753,1.6718,150.0076,-16.2061
wave_right,134,1486372,0.7786,0.1584,0.6487,7.2595,150.7557,-41.2977
wave_right,134,1486392,0.5903,0.2832,0.7795,16.084,136.7786,-26.9008
wave_right,134,1486412,0.4543,0.2998,0.7949,19.3969,113.6947,0.6336
wave_right,134,1486432,0.533,0.219,0.6946,24.3969,99.4275,9.1298
wave_right,134,1486452,0.5403,0.1658,0.7292,30.9237,96.229,-8.3588
